                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2255,                 4.8981,                 2.1281,                 0.0033,                0.17213,                0.00213,                 0.0008,                 2.0685,                 4.9273,                 2.1204,                 0.0937,                 0.0007,                 0.0007
                      1,                 2.2296,                 4.3594,                 2.1535,                0.26694,                0.09836,                0.08378,                0.03833,                 1.9063,                 3.8932,                 2.0231,               0.086351,              0.0013515,              0.0013515
                      2,                 1.9167,                 3.3534,                 1.9118,                0.43104,                0.32993,                 0.3676,                0.20857,                 1.7874,                 2.6816,                 1.9071,               0.078845,              0.0018446,              0.0018446
                      3,                 1.8284,                 2.6279,                 1.7786,                0.63127,                0.40605,                0.47969,                 0.2775,                 1.6266,                  2.221,                 1.7284,               0.071179,              0.0021793,              0.0021793
                      4,                 1.6323,                 2.1127,                 1.6033,                0.67549,                0.49828,                0.59006,                 0.3526,                 1.5279,                 1.8141,                 1.6016,               0.063356,              0.0023556,              0.0023556
                      5,                 1.6341,                 2.0467,                 1.6289,                0.75427,                0.65049,                0.71719,                0.44095,                 1.4301,                 1.4803,                 1.4953,               0.055374,              0.0023735,              0.0023735
                      6,                 1.5406,                 1.8457,                 1.5146,                0.70237,                0.70492,                0.78119,                0.48406,                 1.3909,                  1.503,                 1.4587,               0.047233,               0.002233,               0.002233
                      7,                 1.5008,                 1.6706,                 1.4767,                0.78907,                0.73295,                0.81556,                0.52128,                 1.3744,                 1.3734,                 1.4354,               0.038934,              0.0019341,              0.0019341
                      8,                 1.5022,                 1.5403,                 1.4799,                0.87985,                0.76347,                0.82329,                0.51374,                 1.3412,                 1.2552,                 1.4165,               0.030477,              0.0014768,              0.0014768
                      9,                 1.5405,                 1.4844,                 1.5468,                0.88524,                0.77798,                0.84618,                0.52202,                 1.3216,                 1.1933,                 1.3972,               0.021861,              0.0008611,              0.0008611
